Date,US 5Y CDS,US 5Y Yield,US RF,US Basis,US (Basis - RF),UK 5Y CDS,UK 5Y Yield,UK RF,UK Basis,UK (Basis - RF),Germany 5Y CDS,Germany 5Y Yield,Germany RF,Germany Basis,Germany (Basis - RF),Japan 5Y CDS,Japan 5Y Yield,Japan RF,Japan Basis,Japan (Basis - RF),China 5Y CDS,China 5Y Yield,China RF,China Basis,China (Basis - RF)
3/31/2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/30/2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/30/2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/30/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/30/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2009,0.006498,0.016551,0.002009,0.010053,0.008044,0.012712000000000001,0.023561000000000002,0.00672,0.010849000000000001,0.004129,0.0061,0.022330000000000003,0.00498,0.01623,0.011250000000000001,0.009587,0.0079,0.00251,-0.001687,-0.004197,0.016133,0.023540000000000002,0.01057,0.007407,-0.003163
6/30/2009,0.003803,0.025546000000000003,0.001775,0.021743000000000002,0.019968000000000003,0.007381,0.028834,0.00549,0.021453,0.015962999999999998,0.003251,0.024929999999999997,0.00588,0.021678999999999997,0.015798999999999997,0.004948,0.00725,0.00164,0.002302,0.000662,0.007906,0.02434,0.00959,0.016434,0.006844
9/30/2009,0.0023,0.023117000000000002,0.001075,0.020817000000000002,0.019742000000000003,0.004531,0.026345999999999998,0.00414,0.021814999999999998,0.017674999999999996,0.002186,0.024009999999999997,0.00328,0.021823999999999996,0.018543999999999998,0.00477,0.00601,0.00157,0.00124,-0.00033,0.007167,0.02912,0.015449999999999998,0.021953,0.006503
12/31/2009,0.0023,0.023117000000000002,0.001075,0.020817000000000002,0.019742000000000003,0.004531,0.026345999999999998,0.00414,0.021814999999999998,0.017674999999999996,0.002186,0.024009999999999997,0.00328,0.021823999999999996,0.018543999999999998,0.00477,0.00601,0.00157,0.00124,-0.00033,0.007167,0.02912,0.015449999999999998,0.021953,0.006503
3/31/2010,0.004376,0.025435,0.001501,0.021059,0.019558000000000002,0.007843,0.027127,0.00571,0.019283999999999996,0.013573999999999996,0.003292,0.02136,0.00284,0.018068,0.015228000000000002,0.006862,0.00559,0.00135,-0.001272,-2.62E-03,0.0066,0.02835,0.01485,0.02175,0.0069
6/30/2010,0.004043,0.017733000000000002,0.001704,0.013690000000000003,0.011986000000000002,0.0078,0.02067,0.00543,0.012870000000000001,0.00744,0.00467,0.01458,0.00179,0.00991,0.00812,0.009677,0.00354,0.0013,-0.006137,-0.007437,0.009317,0.025939999999999998,0.01855,0.016623,-0.001927
9/30/2010,0.005057,0.012629,0.001532,0.007572,0.00604,0.006631,0.01609,0.00568,0.009459,0.003779,0.004,0.014830000000000001,0.00392,0.010830000000000001,0.00691,0.006231,0.00268,0.0012,-0.003551,-0.004751,0.0069,0.027120000000000002,0.01897,0.020220000000000002,0.00125
12/31/2010,0.005057,0.012629,0.001532,0.007572,0.00604,0.006631,0.01609,0.00568,0.009459,0.003779,0.004,0.014830000000000001,0.00392,0.010830000000000001,0.00691,0.006231,0.00268,0.0012,-0.003551,-0.004751,0.0069,0.027120000000000002,0.01897,0.020220000000000002,0.00125
3/31/2011,0.00445,0.022766,0.000913,0.018316000000000002,0.017403000000000002,0.005625,0.024375,0.0063,0.018750000000000003,0.012450000000000003,0.0046,0.026709999999999998,0.00749,0.022109999999999998,0.014619999999999998,0.010126999999999999,0.005,0.00124,-0.005127,-0.006367,0.007192,0.03499,0.02859,0.027798,-0.000792
6/30/2011,0.005309,0.017608,0.000102,0.012298999999999997,0.012196999999999998,0.006262,0.020611,0.00505,0.014349,0.009299,0.0042,0.022770000000000002,0.00977,0.018570000000000003,0.0088,0.009179,0.00425,0.00095,-0.004929,-0.005879,0.00852,0.03452,0.03427,0.026000000000000002,-0.00827
9/30/2011,0.005474,0.009518,0.000203,0.004044,0.003841,0.009622,0.013635,0.00487,0.004013,-0.000857,0.011431,0.01165,0.00114,0.000219,-0.000921,0.014916999999999998,0.00368,0.00102,-0.011237,-0.012257,0.020227000000000002,0.03727,0.03553,0.017042999999999996,-0.018487
12/31/2011,0.005474,0.009518,0.000203,0.004044,0.003841,0.009622,0.013635,0.00487,0.004013,-0.000857,0.011431,0.01165,0.00114,0.000219,-0.000921,0.014916999999999998,0.00368,0.00102,-0.011237,-0.012257,0.020227000000000002,0.03727,0.03553,0.017042999999999996,-0.018487
3/31/2012,0.005474,0.009518,0.000203,0.004044,0.003841,0.009622,0.013635,0.00487,0.004013,-0.000857,0.011431,0.01165,0.00114,0.000219,-0.000921,0.014916999999999998,0.00368,0.00102,-0.011237,-0.012257,0.020227000000000002,0.03727,0.03553,0.017042999999999996,-0.018487
6/30/2012,0.005474,0.009518,0.000203,0.004044,0.003841,0.009622,0.013635,0.00487,0.004013,-0.000857,0.011431,0.01165,0.00114,0.000219,-0.000921,0.014916999999999998,0.00368,0.00102,-0.011237,-0.012257,0.020227000000000002,0.03727,0.03553,0.017042999999999996,-0.018487
9/30/2012,0.003554,0.00625,0.000913,0.002696,0.001783,0.005484,0.00722,0.0028,0.001736,-0.001064,0.005612,0.00509,-0.00042,-0.000522,-0.000102,0.0087,0.00192,0.00105,-0.00678,-0.00783,0.00904,0.03166,0.027160000000000004,0.02262,-0.00454
12/31/2012,0.003554,0.00625,0.000913,0.002696,0.001783,0.005484,0.00722,0.0028,0.001736,-0.001064,0.005612,0.00509,-0.00042,-0.000522,-0.000102,0.0087,0.00192,0.00105,-0.00678,-0.00783,0.00904,0.03166,0.027160000000000004,0.02262,-0.00454
3/31/2013,0.003554,0.00625,0.000913,0.002696,0.001783,0.005484,0.00722,0.0028,0.001736,-0.001064,0.005612,0.00509,-0.00042,-0.000522,-0.000102,0.0087,0.00192,0.00105,-0.00678,-0.00783,0.00904,0.03166,0.027160000000000004,0.02262,-0.00454
6/30/2013,0.003,0.013945,0.000304,0.010945,0.010641,0.005086,0.014247000000000001,0.00335,0.009161,0.005811,0.0033,0.00734,0,0.00404,0.00404,0.007932,0.00308,0.00097,-0.004852,-0.005822,0.012229,0.03308,0.03395,0.020850999999999998,-0.013099
9/30/2013,0.003766,0.013815,5.1000000000000006e-05,0.010048999999999999,0.009998,0.003429,0.015232,0.00329,0.011803000000000001,0.008513,0.0025,0.00791,-0.00005,0.00541,0.00546,0.0066,0.00238,0.00028,-0.00422,-0.0045,0.0091,0.038599999999999995,0.034319999999999996,0.029499999999999995,-0.00482
12/31/2013,0.003766,0.013815,5.1000000000000006e-05,0.010048999999999999,0.009998,0.003429,0.015232,0.00329,0.011803000000000001,0.008513,0.0025,0.00791,-0.00005,0.00541,0.00546,0.0066,0.00238,0.00028,-0.00422,-0.0045,0.0091,0.038599999999999995,0.034319999999999996,0.029499999999999995,-0.00482
3/31/2014,0.002,0.017183999999999998,0.000304,0.015183999999999998,0.014879999999999997,0.002466,0.019705,0.00365,0.017239,0.013589,0.0023,0.00628,0.00047,0.00398,0.00351,0.0051,0.00195,0.00026,-0.00315,-0.00341,0.00925,0.04137,0.03246,0.032119999999999996,-0.00034
6/30/2014,0.001929,0.016298999999999998,0.000203,0.014369999999999997,0.014166999999999997,0.002124,0.020311,0.00379,0.018187,0.014396999999999998,0.0021,0.00341,-0.00031,0.00131,0.00162,0.0038,0.00164,0.00025,-0.00216,-0.00241,0.007866,0.03846,0.03398,0.030594000000000003,-0.003386
9/30/2014,0.001989,0.017566,0.000152,0.015576999999999999,0.015425,0.00205,0.017705,0.00416,0.015655,0.011494999999999998,0.001977,0.00146,-0.00091,-0.000517,0.000393,0.00445,0.00169,-0.00004,-0.00276,-0.00272,0.009,0.039009999999999996,0.03737,0.030009999999999995,-0.00736
12/31/2014,0.001989,0.017566,0.000152,0.015576999999999999,0.015425,0.00205,0.017705,0.00416,0.015655,0.011494999999999998,0.001977,0.00146,-0.00091,-0.000517,0.000393,0.00445,0.00169,-0.00004,-0.00276,-0.00272,0.009,0.039009999999999996,0.03737,0.030009999999999995,-0.00736
3/31/2015,0.001905,0.013701000000000001,0.000203,0.011796000000000001,0.011593000000000001,0.0022,0.011918999999999999,0.00434,0.009719,0.005379,0.001744,-0.00102,-0.00312,-0.002764,0.000356,0.0036,0.00135,5e-05,-0.00225,-0.0023,0.0094,0.034390000000000004,0.03142,0.024990000000000005,-0.00643
6/30/2015,0.00181,0.016479,5.1000000000000006e-05,0.014669,0.014617999999999999,0.002129,0.015054000000000001,0.00479,0.012925000000000002,0.008135,0.001722,0.00073,-0.00298,-0.000992,0.001988,0.0045,0.00122,2e-05,-0.00328,-0.0033,0.00945,0.03193,0.01696,0.02248,0.00552
9/30/2015,0.002107,0.013571999999999999,-0.000203,0.011465,0.011668,0.001757,0.011895,0.00499,0.010138,0.005148,0.0015,-0.00007,-0.00376,-0.00157,0.00219,0.0052,0.00061,-0.00023,-0.00459,-0.00436,0.0127,0.030670000000000003,0.0233,0.017970000000000003,-0.00533
12/31/2015,0.002107,0.013571999999999999,-0.000203,0.011465,0.011668,0.001757,0.011895,0.00499,0.010138,0.005148,0.0015,-0.00007,-0.00376,-0.00157,0.00219,0.0052,0.00061,-0.00023,-0.00459,-0.00436,0.0127,0.030670000000000003,0.0233,0.017970000000000003,-0.00533
3/31/2016,0.002565,0.012048000000000001,0.001983,0.009483,0.0075,0.0041,0.008359,0.00451,0.004259,-0.000251,0.002033,-0.00329,-0.00589,-0.005323,0.000567,0.0048,-0.00187,-0.00094,-0.00667,-0.00573,0.0123,0.02487,0.02084,0.01257,-0.00827
6/30/2016,0.002499,0.009997,0.002587,0.007498,0.004911,0.004394,0.003457,0.00344,-0.000937,-0.004377,0.0021,-0.00569,-0.00682,-0.00779,-0.00097,0.0043,-0.00312,-0.0028,-0.00742,-0.00462,0.012181,0.02658,0.0236,0.014398999999999999,-0.009201
9/30/2016,0.003,0.011492,0.002739,0.008492,0.005753,0.003504,0.002219,0.00237,-0.001285,-0.003655,0.002134,-0.00577,-0.00798,-0.007904,7.600000000000141e-05,0.0036,-0.00252,-0.00379,-0.00612,-0.00233,0.0106,0.02536,0.022010000000000002,0.01476,-0.00725
12/31/2016,0.002998,0.019274,0.004974,0.016276,0.011302,0.003341,0.004709,0.00061,0.001368,0.000758,0.002512,-0.00543,-0.00986,-0.007942,0.001918,0.0032,-0.00114,-0.0042,-0.00434,-0.00014,0.011964,0.028319999999999998,0.02722,0.016355999999999996,-0.010864
3/31/2017,0.002894,0.019212,0.007516,0.016318,0.008802,0.003052,0.005573,0.0017,0.002521,0.000821,0.001905,-0.00386,-0.00915,-0.005765,0.003385,0.002612,-0.00125,-0.00195,-0.003862,-0.001912,0.008343,0.03068,0.02848,0.022336999999999996,-0.006143
6/30/2017,0.002631,0.018884,0.010113,0.016253000000000004,0.00614,0.002241,0.006898,0.00102,0.004657,0.003637,0.00168,-0.00229,-0.00924,-0.00397,0.00527,0.002657,-0.00071,-0.00092,-0.003367,-0.002447,0.007054,0.03483,0.03422,0.027776,-0.006444
9/30/2017,0.002829,0.01936,0.010405,0.016530999999999997,0.006126,0.00265,0.007833,0.00183,0.005183,0.003353,0.001269,-0.00269,-0.00749,-0.003959,0.003531,0.00407,-0.00085,-0.00218,-0.00492,-0.00274,0.006289,0.03593,0.03447,0.029640999999999997,-0.004829
12/31/2017,0.002829,0.01936,0.010405,0.016530999999999997,0.006126,0.00265,0.007833,0.00183,0.005183,0.003353,0.001269,-0.00269,-0.00749,-0.003959,0.003531,0.00407,-0.00085,-0.00218,-0.00492,-0.00274,0.006289,0.03593,0.03447,0.029640999999999997,-0.004829
3/31/2018,0.002829,0.01936,0.010405,0.016530999999999997,0.006126,0.00265,0.007833,0.00183,0.005183,0.003353,0.001269,-0.00269,-0.00749,-0.003959,0.003531,0.00407,-0.00085,-0.00218,-0.00492,-0.00274,0.006289,0.03593,0.03447,0.029640999999999997,-0.004829
6/30/2018,0.0025,0.027378,0.019123,0.024878,0.005755,0.00256,0.010235000000000001,0.00542,0.007675,0.002255,0.00126,-0.00306,-0.00654,-0.00432,0.00222,0.002589,-0.00114,-0.00143,-0.003729,-0.002299,0.006869,0.03358,0.03139,0.026711,-0.004679
9/30/2018,0.0025,0.029529,0.021964,0.027029,0.005065,0.003098,0.011645,0.00722,0.008547,0.001327,0.001179,-0.00092,-0.00587,-0.002099,0.003771,0.002558,-0.00073,-0.00136,-0.003288,-0.001928,0.005723,0.03429,0.029580000000000002,0.028567000000000002,-0.001013
12/31/2018,0.0025,0.029529,0.021964,0.027029,0.005065,0.003098,0.011645,0.00722,0.008547,0.001327,0.001179,-0.00092,-0.00587,-0.002099,0.003771,0.002558,-0.00073,-0.00136,-0.003288,-0.001928,0.005723,0.03429,0.029580000000000002,0.028567000000000002,-0.001013
3/31/2019,0.002048,0.022330000000000003,0.023809,0.020282,-0.003527,0.003415,0.007475,0.0077,0.00406,-0.00364,0.001351,-0.00453,-0.00555,-0.005881,-0.000331,0.002324,-0.00203,-0.00173,-0.004354,-0.002624,0.004574,0.029009999999999998,0.02358,0.024436,0.000856
6/30/2019,0.001656,0.017664,0.020868,0.016007999999999998,-0.00486,0.003237,0.006291,0.00741,0.003054,-0.004356,0.001251,-0.00666,-0.00603,-0.007911,-0.001881,0.002241,-0.00262,-0.00125,-0.004861,-0.003611,0.004447,0.030449999999999998,0.0262,0.026003,-0.000197
9/30/2019,0.001656,0.017664,0.020868,0.016007999999999998,-0.00486,0.003237,0.006291,0.00741,0.003054,-0.004356,0.001251,-0.00666,-0.00603,-0.007911,-0.001881,0.002241,-0.00262,-0.00125,-0.004861,-0.003611,0.004447,0.030449999999999998,0.0262,0.026003,-0.000197
12/31/2019,0.001656,0.017664,0.020868,0.016007999999999998,-0.00486,0.003237,0.006291,0.00741,0.003054,-0.004356,0.001251,-0.00666,-0.00603,-0.007911,-0.001881,0.002241,-0.00262,-0.00125,-0.004861,-0.003611,0.004447,0.030449999999999998,0.0262,0.026003,-0.000197
3/31/2020,0.002777,0.003799,0.00061,0.001022,0.000412,0.004403,0.002034,0.00164,-0.002369,-0.004009,0.002527,-0.00657,-0.00709,-0.009097,-0.002007,0.004346,-0.00115,-0.00301,-0.005496,-0.002486,0.005659,0.022690000000000002,0.016810000000000002,0.017031,0.000221
6/30/2020,0.00228,0.002878,0.001293,0.000598,-0.000695,0.00305,-0.000562,0.00013,-0.003612,-0.003742,0.001814,-0.007,-0.00563,-0.008814,-0.003184,0.002086,-0.00106,-0.00132,-0.003146,-0.001826,0.005128,0.0254,0.02089,0.020272,-0.000618
9/30/2020,0.00201,0.002768,0.000915,0.000758,-0.000157,0.002239,-0.000581,0.00011,-0.00282,-0.00293,0.001339,-0.00713,-0.00633,-0.008469,-0.002139,0.001946,-0.00118,-0.00159,-0.003126,-0.001536,0.004983,0.03013,0.02588,0.025147000000000003,-0.000733
12/31/2020,0.00201,0.002768,0.000915,0.000758,-0.000157,0.002239,-0.000581,0.00011,-0.00282,-0.00293,0.001339,-0.00713,-0.00633,-0.008469,-0.002139,0.001946,-0.00118,-0.00159,-0.003126,-0.001536,0.004983,0.03013,0.02588,0.025147000000000003,-0.000733
3/31/2021,0.001348,0.009393,0.000152,0.008045,0.007893,0.001422,0.003903,-0.0001,0.002481,0.002581,0.001172,-0.00629,-0.00665,-0.007462,-0.000812,0.001816,-0.00096,-0.001,-0.002776,-0.001776,0.003599,0.03007,0.025160000000000002,0.026470999999999998,0.001311
6/30/2021,0.001143,0.008894,0.000406,0.007751,0.007345,0.001081,0.003293,0.00024,0.002212,0.001972,0.001125,-0.00589,-0.00667,-0.007015,-0.000345,0.001749,-0.00102,-0.00103,-0.002769,-0.001739,0.003717,0.029249999999999998,0.023319999999999997,0.025532999999999997,0.002213
9/30/2021,0.001769,0.009649,0.00033,0.00788,0.00755,0.001236,0.006341,0.00017,0.005105,0.004935,0.001052,-0.00558,-0.00674,-0.006632,0.000108,0.001903,-0.00085,-0.00145,-0.002753,-0.001303,0.004691,0.02702,0.02303,0.022328999999999998,-0.000701
12/31/2021,0.001769,0.009649,0.00033,0.00788,0.00755,0.001236,0.006341,0.00017,0.005105,0.004935,0.001052,-0.00558,-0.00674,-0.006632,0.000108,0.001903,-0.00085,-0.00145,-0.002753,-0.001303,0.004691,0.02702,0.02303,0.022328999999999998,-0.000701
3/31/2022,0.001738,0.024599000000000003,0.004822,0.022861000000000003,0.018039000000000003,0.001522,0.014013,0.00558,0.012490999999999999,0.006911,0.001621,0.00371,-0.00763,0.002089,0.009719,0.001851,0.00028,-0.001,-0.001571,-0.000571,0.006225,0.02564,0.02125,0.019415,-0.001835
6/30/2022,0.002086,0.030379,0.016262000000000002,0.028293,0.012030999999999997,0.001312,0.018887,0.011890000000000001,0.017575,0.005685,0.001398,0.01056,-0.00499,0.009162,0.014152,0.002675,0.00018,-0.00145,-0.002495,-0.001045,0.008767,0.02626,0.01916,0.017492999999999998,-0.001667
9/30/2022,0.002959,0.0409,0.032466,0.037941,0.005475,0.004989,0.043771000000000004,0.0248,0.038782000000000004,0.013982000000000005,0.002541,0.01959,0.00762,0.017049,0.009429,0.002952,0.00061,-0.00211,-0.002342,-0.000232,0.011104000000000001,0.02563,0.01824,0.014525999999999999,-0.003714
12/31/2022,0.002712,0.040039,0.043429,0.037327,-0.006102,0.003,0.036049000000000005,0.0341,0.033049,-0.001051,0.002073,0.02566,0.01558,0.023586999999999997,0.008007,0.002671,0.00226,-0.00169,-0.000411,0.001279,0.007716,0.0262,0.02221,0.018484,-0.003726
3/31/2023,0.004851,0.035733,0.04693,0.030882,-0.016048,0.003027,0.03345,0.04199,0.030423000000000002,-0.011567,0.001654,0.02305,0.026709999999999998,0.021396000000000002,-0.005314,0.002652,0.00093,-0.00218,-0.001722,0.000458,0.007363,0.026699999999999998,0.02185,0.019337,-0.002513
6/30/2023,0.003506,0.041555999999999996,0.052836,0.038049999999999994,-0.014786,0.002904,0.046518,0.052000000000000005,0.043614,-0.008386,0.001637,0.025459999999999997,0.03335,0.023822999999999997,-0.009527,0.0017,0.00058,-0.00105,-0.00112,-7.00E-05,0.006182,0.02402,0.01862,0.017838,-0.000782
